aid1,aid2,PublicationId,Year
220,1000,3089362634,2011
179,1041,3089362634,2011
731,815,1990711990,2011
211,488,2260084776,2011
1000,1017,3089362634,2011
1000,1041,3089362634,2011
1016,1017,3089362634,2011
1016,1041,3089362634,2011
572,1028,1990711990,2011
1017,1041,3089362634,2011
736,815,1990711990,2011
736,1028,1990711990,2011
815,1028,1990711990,2011
149,590,2260084776,2011
177,1028,1990711990,2011
149,590,2395472943,2011
731,1028,1990711990,2011
1000,1016,3089362634,2011
211,590,2260084776,2011
773,1017,3089362634,2011
53,566,1990711990,2011
53,338,1990711990,2011
53,572,1990711990,2011
192,220,3089362634,2011
773,1041,3089362634,2011
177,731,1990711990,2011
177,736,1990711990,2011
192,536,3089362634,2011
731,736,1990711990,2011
149,488,2260084776,2011
536,1041,3089362634,2011
773,1000,3089362634,2011
773,1016,3089362634,2011
149,211,2260084776,2011
177,815,1990711990,2011
134,631,2132055944,2012
134,528,2132055944,2012
506,689,2137402828,2012
144,296,2014396719,2012
187,303,1512262279,2012
467,825,964936750,2012
44,203,964936750,2012
425,439,2014887348,2012
467,743,964936750,2012
467,759,964936750,2012
467,798,964936750,2012
708,735,964936750,2012
425,449,2014887348,2012
528,631,2132055944,2012
187,303,964936750,2012
187,759,964936750,2012
187,743,964936750,2012
187,735,964936750,2012
187,708,964936750,2012
187,467,964936750,2012
187,203,964936750,2012
44,825,964936750,2012
44,798,964936750,2012
44,759,964936750,2012
189,506,2137402828,2012
140,229,1994543706,2012
159,452,2055197218,2012
708,743,964936750,2012
20,452,2055197218,2012
189,201,2137402828,2012
708,759,964936750,2012
44,743,964936750,2012
708,798,964936750,2012
20,159,2055197218,2012
303,735,964936750,2012
303,798,964936750,2012
303,467,964936750,2012
203,825,964936750,2012
303,743,964936750,2012
303,759,964936750,2012
210,564,1984493788,2012
467,708,964936750,2012
303,825,964936750,2012
210,797,1984493788,2012
439,449,2014887348,2012
303,708,964936750,2012
467,735,964936750,2012
44,303,964936750,2012
44,735,964936750,2012
743,759,964936750,2012
743,798,964936750,2012
743,825,964936750,2012
759,798,964936750,2012
759,825,964936750,2012
798,825,964936750,2012
807,1030,1030668652,2012
44,708,964936750,2012
44,467,964936750,2012
735,825,964936750,2012
735,798,964936750,2012
735,743,964936750,2012
44,187,964936750,2012
708,825,964936750,2012
735,759,964936750,2012
14,452,2055197218,2012
93,659,2184265879,2012
14,20,2055197218,2012
366,580,2614867683,2012
396,464,2614867683,2012
396,465,2614867683,2012
396,580,2614867683,2012
464,465,2614867683,2012
464,580,2614867683,2012
465,580,2614867683,2012
1035,1042,2611229285,2012
218,679,2579716123,2012
793,800,2579716123,2012
774,800,2579716123,2012
774,793,2579716123,2012
748,800,2579716123,2012
748,793,2579716123,2012
748,774,2579716123,2012
679,793,2579716123,2012
172,218,2579716123,2012
172,748,2579716123,2012
172,774,2579716123,2012
172,793,2579716123,2012
679,774,2579716123,2012
679,748,2579716123,2012
218,800,2579716123,2012
218,793,2579716123,2012
172,800,2579716123,2012
218,774,2579716123,2012
366,396,2614867683,2012
218,748,2579716123,2012
14,159,2055197218,2012
366,465,2614867683,2012
366,464,2614867683,2012
679,800,2579716123,2012
335,823,1981239453,2012
189,689,2137402828,2012
711,790,2613420689,2012
201,689,2137402828,2012
249,684,2110234844,2012
142,296,2014396719,2012
163,684,2110234844,2012
